,Location,2020,2021,2022,Income_per_Capita
2202,"Major, OK",43642.0,48584.0,46530.0,46252.0
2203,"Marshall, OK",41383.0,44512.0,44911.0,43602.0
2204,"Mayes, OK",42065.0,45371.0,44793.0,44076.333333333336
2205,"Murray, OK",45891.0,49163.0,49714.0,48256.0
2206,"Muskogee, OK",42004.0,44821.0,44727.0,43850.666666666664
2207,"Noble, OK",47929.0,50424.0,48939.0,49097.333333333336
2208,"Nowata, OK",42499.0,44261.0,44176.0,43645.333333333336
2209,"Okfuskee, OK",35328.0,38380.0,38363.0,37357.0
2210,"Oklahoma, OK",58719.0,65617.0,68047.0,64127.666666666664
2211,"Okmulgee, OK",39701.0,42620.0,42614.0,41645.0
2212,"Osage, OK",39512.0,44067.0,43479.0,42352.666666666664
2213,"Ottawa, OK",42533.0,46630.0,46364.0,45175.666666666664
2214,"Pawnee, OK",40070.0,43340.0,43482.0,42297.333333333336
2215,"Payne, OK",41494.0,45036.0,45416.0,43982.0
2216,"Pittsburg, OK",40517.0,42848.0,42484.0,41949.666666666664
2217,"Pontotoc, OK",48461.0,52269.0,53000.0,51243.333333333336
2218,"Pottawatomie, OK",43216.0,49898.0,47587.0,46900.333333333336
2219,"Pushmataha, OK",37176.0,40578.0,39279.0,39011.0
2220,"Roger Mills, OK",47751.0,49548.0,47155.0,48151.333333333336
2221,"Rogers, OK",50088.0,52873.0,52850.0,51937.0
2222,"Seminole, OK",38717.0,42336.0,43154.0,41402.333333333336
2223,"Sequoyah, OK",39333.0,43237.0,43697.0,42089.0
2224,"Stephens, OK",45580.0,48378.0,48653.0,47537.0
2225,"Texas, OK",50690.0,61867.0,60450.0,57669.0
2226,"Tillman, OK",37561.0,40917.0,34298.0,37592.0
2227,"Tulsa, OK",61416.0,67314.0,70064.0,66264.66666666667
2228,"Wagoner, OK",46103.0,49178.0,49774.0,48351.666666666664
2229,"Washington, OK",63280.0,83921.0,96408.0,81203.0
2230,"Washita, OK",38351.0,41297.0,40073.0,39907.0
2231,"Woods, OK",45365.0,49285.0,47818.0,47489.333333333336
2232,"Woodward, OK",39134.0,42308.0,40488.0,40643.333333333336
2233,"Baker, OR",44785.0,48153.0,48666.0,47201.333333333336
2234,"Benton, OR",49990.0,54622.0,55325.0,53312.333333333336
2235,"Clackamas, OR",64848.0,71666.0,73129.0,69881.0
2236,"Clatsop, OR",49704.0,54109.0,53788.0,52533.666666666664
2237,"Columbia, OR",49675.0,53365.0,53724.0,52254.666666666664
2238,"Coos, OR",50770.0,54462.0,54330.0,53187.333333333336
2239,"Crook, OR",46970.0,51877.0,51931.0,50259.333333333336
2240,"Curry, OR",47940.0,52039.0,51950.0,50643.0
2241,"Deschutes, OR",64080.0,70161.0,71627.0,68622.66666666667
2242,"Douglas, OR",46163.0,50343.0,49440.0,48648.666666666664
2243,"Gilliam, OR",63667.0,63173.0,69112.0,65317.333333333336
2244,"Grant, OR",47688.0,50829.0,51240.0,49919.0
2245,"Harney, OR",44506.0,49214.0,50016.0,47912.0
2246,"Hood River, OR",59611.0,65658.0,64748.0,63339.0
2247,"Jackson, OR",51850.0,56928.0,57552.0,55443.333333333336
2248,"Jefferson, OR",40259.0,43768.0,43354.0,42460.333333333336
2249,"Josephine, OR",47955.0,51979.0,52166.0,50700.0
2250,"Klamath, OR",43406.0,47364.0,47244.0,46004.666666666664
2251,"Lake, OR",43592.0,47456.0,46728.0,45925.333333333336
2252,"Lane, OR",50701.0,55942.0,56188.0,54277.0
2253,"Lincoln, OR",49063.0,53680.0,53494.0,52079.0
2254,"Linn, OR",47621.0,51999.0,52469.0,50696.333333333336
2255,"Malheur, OR",35024.0,38168.0,38407.0,37199.666666666664
2256,"Marion, OR",49115.0,53768.0,54440.0,52441.0
2257,"Morrow, OR",49571.0,51624.0,55080.0,52091.666666666664
2258,"Multnomah, OR",62954.0,69829.0,69954.0,67579.0
2259,"Polk, OR",45753.0,49620.0,50295.0,48556.0
2260,"Sherman, OR",62187.0,62413.0,67452.0,64017.333333333336
2261,"Tillamook, OR",49630.0,54306.0,54639.0,52858.333333333336
2262,"Umatilla, OR",44746.0,48257.0,49149.0,47384.0
2263,"Union, OR",45817.0,48736.0,48999.0,47850.666666666664
2264,"Wallowa, OR",48091.0,52995.0,52699.0,51261.666666666664
2265,"Wasco, OR",48163.0,52440.0,52093.0,50898.666666666664
2266,"Washington, OR",67693.0,71530.0,73380.0,70867.66666666667
2267,"Wheeler, OR",39867.0,41160.0,43062.0,41363.0
2268,"Yamhill, OR",50987.0,55923.0,56563.0,54491.0
2269,"Adams, PA",53258.0,55818.0,55597.0,54891.0
2270,"Allegheny, PA",66014.0,70137.0,70837.0,68996.0
2271,"Armstrong, PA",49947.0,53745.0,54352.0,52681.333333333336
2272,"Beaver, PA",52557.0,55306.0,54812.0,54225.0
2273,"Bedford, PA",45877.0,49928.0,49468.0,48424.333333333336
2274,"Berks, PA",54418.0,58311.0,58199.0,56976.0
2275,"Blair, PA",50853.0,55162.0,55101.0,53705.333333333336
2276,"Bradford, PA",45479.0,48065.0,48206.0,47250.0
2277,"Bucks, PA",78810.0,84470.0,86770.0,83350.0
2278,"Butler, PA",63279.0,68368.0,69129.0,66925.33333333333
2279,"Cambria, PA",46250.0,48961.0,47971.0,47727.333333333336
2280,"Cameron, PA",50652.0,51780.0,50557.0,50996.333333333336
2281,"Carbon, PA",59495.0,60293.0,58626.0,59471.333333333336
2282,"Centre, PA",52013.0,55107.0,54686.0,53935.333333333336
2283,"Chester, PA",92175.0,97652.0,101051.0,96959.33333333333
2284,"Clarion, PA",45983.0,47622.0,46458.0,46687.666666666664
2285,"Clearfield, PA",49015.0,53767.0,52265.0,51682.333333333336
2286,"Clinton, PA",45851.0,46713.0,45878.0,46147.333333333336
2287,"Columbia, PA",47526.0,50403.0,49854.0,49261.0
2288,"Crawford, PA",45727.0,48478.0,47732.0,47312.333333333336
2289,"Cumberland, PA",60871.0,64472.0,65105.0,63482.666666666664
2290,"Dauphin, PA",54891.0,58362.0,57717.0,56990.0
2291,"Delaware, PA",70945.0,76589.0,78228.0,75254.0
2292,"Elk, PA",50253.0,50850.0,50208.0,50437.0
2293,"Erie, PA",50179.0,52048.0,51396.0,51207.666666666664
2294,"Fayette, PA",46421.0,49601.0,48259.0,48093.666666666664
2295,"Forest, PA",28022.0,28672.0,28009.0,28234.333333333332
2296,"Franklin, PA",51296.0,55125.0,55212.0,53877.666666666664
2297,"Fulton, PA",47687.0,49404.0,48013.0,48368.0
2298,"Greene, PA",47271.0,49233.0,49645.0,48716.333333333336
2299,"Huntingdon, PA",43617.0,45915.0,45049.0,44860.333333333336
2300,"Indiana, PA",44250.0,46832.0,45599.0,45560.333333333336
2301,"Jefferson, PA",46457.0,48436.0,47629.0,47507.333333333336
2302,"Juniata, PA",52142.0,56770.0,56651.0,55187.666666666664
2303,"Lackawanna, PA",51659.0,54823.0,54607.0,53696.333333333336
2304,"Lancaster, PA",57816.0,61775.0,63044.0,60878.333333333336
2305,"Lawrence, PA",48169.0,51655.0,50674.0,50166.0
2306,"Lebanon, PA",52362.0,55937.0,56207.0,54835.333333333336
2307,"Lehigh, PA",58875.0,62366.0,62879.0,61373.333333333336
2308,"Luzerne, PA",48544.0,51638.0,50618.0,50266.666666666664
2309,"Lycoming, PA",48046.0,50730.0,49869.0,49548.333333333336
2310,"McKean, PA",47604.0,49211.0,48797.0,48537.333333333336
2311,"Mercer, PA",45553.0,48579.0,47857.0,47329.666666666664
2312,"Mifflin, PA",43457.0,46297.0,46121.0,45291.666666666664
2313,"Monroe, PA",48872.0,51931.0,52643.0,51148.666666666664
2314,"Montgomery, PA",86337.0,90513.0,93666.0,90172.0
