Location,2020,2021,2022
"Bayfield, WI",49990,53818,52963
"Brown, WI",56965,60799,62519
"Buffalo, WI",49669,54431,55319
"Burnett, WI",45180,48389,48081
"Calumet, WI",54563,58066,58999
"Chippewa, WI",50119,53732,54474
"Clark, WI",47556,50125,51365
"Columbia, WI",56124,60878,61542
"Crawford, WI",46646,50089,50741
"Dane, WI",65500,72511,73726
"Dodge, WI",47464,51562,52398
"Door, WI",65788,70363,71130
"Douglas, WI",45619,49342,49469
"Dunn, WI",44574,49794,49324
"Eau Claire, WI",51690,56403,57320
"Florence, WI",54969,61327,62285
"Fond du Lac, WI",52419,56667,58204
"Forest, WI",44504,46167,45248
"Grant, WI",47534,51475,52264
"Green, WI",56709,60288,61416
"Green Lake, WI",46978,51152,51819
"Iowa, WI",53207,58191,58797
"Iron, WI",50456,53379,53626
"Jackson, WI",48388,50110,50097
"Jefferson, WI",49776,53886,55023
"Juneau, WI",42804,46547,46696
"Kenosha, WI",52288,56471,58255
"Kewaunee, WI",52538,56598,57770
"La Crosse, WI",53817,59705,60463
"Lafayette, WI",47826,50750,52048
"Langlade, WI",47949,51018,50852
"Lincoln, WI",49761,52544,53038
"Manitowoc, WI",49295,53633,54592
"Marathon, WI",54405,59089,59949
"Marinette, WI",47230,51745,52260
"Marquette, WI",46069,48932,49041
"Menominee, WI*",37076,41300,41435
"Milwaukee, WI",50651,55965,56188
"Monroe, WI",46143,49825,50008
"Oconto, WI",49649,53227,53823
"Oneida, WI",52255,55494,56013
"Outagamie, WI",55048,59276,60352
"Ozaukee, WI",86875,95076,99817
"Pepin, WI",54852,59472,60146
"Pierce, WI",51054,57563,58338
"Polk, WI",49838,53479,54302
"Portage, WI",50335,54681,54375
"Price, WI",47741,51261,51846
"Racine, WI",52951,56680,57574
"Richland, WI",47428,50606,51382
"Rock, WI",47909,51955,52517
"Rusk, WI",47883,52068,52712
"St. Croix, WI",59624,65129,67477
"Sauk, WI",55652,62446,62052
"Sawyer, WI",46857,51291,50990
"Shawano, WI*",46611,50004,50444
"Sheboygan, WI",54964,58813,60359
"Taylor, WI",47024,50581,50045
"Trempealeau, WI",46904,50846,51281
"Vernon, WI",45808,49833,50622
"Vilas, WI",54842,59002,59807
"Walworth, WI",55245,61316,62828
"Washburn, WI",50675,55481,55362
"Washington, WI",61808,66651,68705
"Waukesha, WI",76931,84113,87582
"Waupaca, WI",49255,53368,54632
"Waushara, WI",43781,46976,46697
"Winnebago, WI",51855,56253,56878
"Wood, WI",49588,52678,53162
"Shawano (includes Menominee), WI*",(NA),(NA),(NA)
"Albany, WY",46450,49551,50632
"Big Horn, WY",43730,46449,46614
"Campbell, WY",53982,55649,56374
"Carbon, WY",61885,63190,67105
"Converse, WY",65990,64817,65733
"Crook, WY",53149,54778,57399
"Fremont, WY",49046,50897,52497
"Goshen, WY",48258,50662,50629
"Hot Springs, WY",72084,71660,71070
"Johnson, WY",58284,60771,61956
"Laramie, WY",55842,58724,59148
"Lincoln, WY",53640,61303,63195
"Natrona, WY",63738,66986,68472
"Niobrara, WY",52357,56356,55166
"Park, WY",61527,62836,65164
"Platte, WY",52855,54039,55397
"Sheridan, WY",59264,65011,66790
"Sublette, WY",62970,59865,61584
"Sweetwater, WY",54708,56252,58374
"Teton, WY",300665,362522,406054
"Uinta, WY",42289,44358,44775
"Washakie, WY",55098,54898,55288
"Weston, WY",49854,49734,50987
,,,
,,,
,,,
,,,
Legend/Footnotes,,,
"2. Per capita personal income was computed using Census Bureau midyear population estimates. BEA produced intercensal annual county population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020. BEA developed intercensal population statistics because this data was not published when Census released county population data for 2020 and 2022, which are based on the 2020 decennial counts. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,
* Estimates for 1979 forward reflect Alaska Census Areas as defined by the Census Bureau; those for prior years reflect Alaska Census Divisions as defined in the 1970 Decennial Census.,,,
* Estimates from 1988 forward separate Aleutian Islands Census Area (02010) into Aleutians East Borough (02013) and Aleutians West Census Area (02016).,,,
* Estimates for 1991 forward separate Denali Borough (02068) from Yukon-Koyukuk Census Area (02290) and Lake and Peninsula Borough (02164) from Dillingham Census Area (02070).,,,
"* Estimates from 1993 forward separate Skagway-Yakutat-Angoon Census Area (02231) into Skagway-Hoonah-Angoon Census Area (02232) and Yakutat City and Borough (02282). Estimates from 2008 forward separate Skagway-Hoonah-Angoon Census Area (02232) into Skagway Municipality (02230) and Hoonah-Angoon Census Area (02105). Estimates from 2009 forward separate Wrangell-Petersburg Census Area (02280) into Petersburg Census Area and Wrangell City and Borough (02275). In addition, a part of the Prince of Wales-Outer Ketchikan Census Area (02201) was annexed by Ketchikan Gateway Borough (02130) and part (Meyers Chuck Area) was included in the new Wrangell City and Borough (02275). The remainder of the Prince of Wales-Outer Ketchikan Census Area (02201) was renamed Prince of Wales-Hyder Census Area (02198). Petersburg Borough (02195) was created from part of former Petersburg Census Area and part of Hoonah-Angoon Census Area (02105) for 2013 forward. Prince of Wales-Hyder Census Area (02198) added part of the former Petersburg Census Area beginning in 2013. For years 2009-2012, Petersburg Borough (02195) reflects the geographic boundaries of the former Petersburg Census Area.",,,
"* Wade Hampton Census Area was renamed Kusilvak Census Area (02158) on July 1, 2015.",,,
"* On January 2, 2019, two new county equivalents were created from the former Valdez-Cordova Census Area, Alaska (02261): Chugach Census Area (02063) and Copper River Census Area (02066). Estimates for 2020 forward reflect these changes.",,,
"* La Paz County, AZ was separated from Yuma County on January 1, 1983. The Yuma, AZ MSA contains the area that became La Paz County, AZ through 1982 and excludes it beginning with 1983.",,,
"* Broomfield County, CO, was created from parts of Adams, Boulder, Jefferson, and Weld counties effective November 15, 2001. Estimates for Broomfield county begin with 2002.",,,
"* Kalawao County, Hawaii is combined with Maui County. Separate estimates for the jurisdictions making up the combination areas are not available.",,,
"* Cibola, NM was separated from Valencia in June 1981, but in these estimates, Valencia includes Cibola through the end of 1981.",,,
"* Shannon County, SD was renamed to Oglala Lakota County, SD on May 1, 2015.",,,
"* Virginia combination areas consist of one or two independent cities with 1980 populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination area are not available. Bedford County, VA includes the independent city of Bedford for all years.",,,
"* Shawano, WI and Menominee, WI are combined as Shawano (incl. Menominee), WI for the years prior to 1989.",,,
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,,
Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.,,,
(NA) Not available.,,,
"  Last updated: November 16, 2023-- new statistics for 2022; revised statistics for 1979-2021.",,,
